"wildcard","name","slug_name","description",cover_image_id
"ts","Taylor Swift","taylor-swift","NULL",0
"ht","Hien Thuc","hien-thuc","NULL",0
"qh","Quang Ha","quang-ha","NULL",0
"sc","Son Ca","son-ca","NULL",0
"mh","Minh Hang","minh-hang","NULL",0
"yhn","Yuki Huy Nam","yuki-huy-nam","NULL",0
"bd","Bruce Doan","bruce-doan","NULL",0
"lt","Le Tam","le-tam","NULL",0
"qhsc","Quang Ha-Son Ca","quang-ha-son-ca","NULL",0
"vqv","Vu Quoc Viet","vu-quoc-viet","NULL",0
"hat","Ha Anh Tuan","ha-anh-tuan","NULL",0
"jjn","Jimmii JC Nguyen","jimmii-jc-nguyen","NULL",0
"tktn","Tuong Khue-Tuong Nguyen","tuong-khue-tuong-nguyen","NULL",0
"tt","Thanh Thao","thanh-thao","NULL",0
"mhtc","My Huyen & Thai Chau","my-huyen-thai-chau","NULL",0
"knmtnphqv","Kiwi Ngo Mai Trang-Nguyen Phi Hung-Quang Vinh","kiwi-ngo-mai-trang-nguyen-phi-hung-quang-vinh","NULL",0
"th","Thanh Ha","thanh-ha","NULL",0
"ts","The Son","the-son","NULL",0
"lss","La Suong Suong","la-suong-suong","NULL",0
"yl","Y Lan","y-lan","NULL",0
"ht","Hong Truc","hong-truc","NULL",0
"tt","Thanh Thu","thanh-thu","NULL",0
"tv","Truong Vu","truong-vu","NULL",0
"vk","Vu Khanh","vu-khanh","NULL",0
"tq","Tu Quyen","tu-quyen","NULL",0
"ht","Huyen Thoai","huyen-thoai","NULL",0
"hnh","Ho Ngoc Ha","ho-ngoc-ha","NULL",0
"dn","Dan Nguyen","dan-nguyen","NULL",0
"nf","Nu Flavor","nu-flavor","NULL",0
"hc","Hop Ca","hop-ca","NULL",0
"ltd","Lynda Trang Dai","lynda-trang-dai","NULL",0
"t","Train","train","NULL",0
"lat","Lieu Anh Tuan","lieu-anh-tuan","NULL",0
"cl","Christiane Le","christiane-le","NULL",0
"hc","Hung Cuong","hung-cuong","NULL",0
"hc0","Hung Cuong_001","hung-cuong-001","NULL",0
"mtd","Mai Tien Dung","mai-tien-dung","NULL",0
"kt","Kien Thanh","kien-thanh","NULL",0
"tm","The Men","the-men","NULL",0
"ndtt","Nguyen Dinh Thanh Tam","nguyen-dinh-thanh-tam","NULL",0
"at","Anh Thoai","anh-thoai","NULL",0
"nh","Ngoc Huyen","ngoc-huyen","NULL",0
"n","Nu","nu","NULL",0
"ql","Quang Le","quang-le","NULL",0
"tt","Thanh Tuyen","thanh-tuyen","NULL",0
"t","Tim","tim","NULL",0
"ncs","Nhieu Ca Sy","nhieu-ca-sy","NULL",0
"qtd","Quach Tuan Du","quach-tuan-du","NULL",0
"jd","Johnny Dung","johnny-dung","NULL",0
"kt","Kenny Thai","kenny-thai","NULL",0
"lnt","Lam Nhat Tien","lam-nhat-tien","NULL",0
"lm","Lay Minh","lay-minh","NULL",0
"at","Anh Tu","anh-tu","NULL",0
"hv","Ha Vy","ha-vy","NULL",0
"hv","Huy Vu","huy-vu","NULL",0
"mt","Minh Tuyet","minh-tuyet","NULL",0
"nt","Nguyen Thang","nguyen-thang","NULL",0
"m","mkv","mkv","NULL",0
"tmh","Tu Minh Hy","tu-minh-hy","NULL",0
"c","Cardin","cardin","NULL",0
"vc","Vanessa Carlton","vanessa-carlton","NULL",0
"cp","Christina Perri","christina-perri","NULL",0
"nl","Nhu Loan","nhu-loan","NULL",0
"ksnh","Kevin Socola-Nhu Hexi","kevin-socola-nhu-hexi","NULL",0
"clht","Cao Le Ha Trang","cao-le-ha-trang","NULL",0
"ej","Emily-JustaTee","emily-justatee","NULL",0
"ttt","Trish Thuy Trang","trish-thuy-trang","NULL",0
"beg","Brown Eyed Girls","brown-eyed-girls","NULL",0
"3","365DaBand","365daband","NULL",0
"dn","Dong Nhi","dong-nhi","NULL",0
"aa","Alan Ai","alan-ai","NULL",0
"lt","Le Toan","le-toan","NULL",0
"vt","Vi Tinh","vi-tinh","NULL",0
"vdk","Vu Duy Khanh","vu-duy-khanh","NULL",0
"yp","Yen Phuong","yen-phuong","NULL",0
"dvhtt","Dam Vinh Hung & Thanh Thao","dam-vinh-hung-thanh-thao","NULL",0
"htx","Ha Thanh Xuan","ha-thanh-xuan","NULL",0
"td","Tam Doan","tam-doan","NULL",0
"hc","Hoang Chau","hoang-chau","NULL",0
"lgm","Lam Gia Minh","lam-gia-minh","NULL",0
"lq","Le Quyen","le-quyen","NULL",0
"st","Son Tuyen","son-tuyen","NULL",0
"cl","Che Linh","che-linh","NULL",0
"ak","Anh khang","anh-khang","NULL",0
"lh","Ly Hai","ly-hai","NULL",0
"hh","Hong Hanh","hong-hanh","NULL",0
